time_s,x_m,y_m,z_m,theta_x_deg,theta_y_deg,theta_z_deg
3.942942,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
4.015961,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
4.064306,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
4.093157,0.677218,0.171329,0.069363,170.640854,73.990334,165.970886
4.163792,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
4.217343,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
4.264191,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
4.314037,0.677218,0.171329,0.069363,170.640854,73.990334,165.970886
4.368936,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
4.414102,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
4.463821,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
4.519511,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
4.564502,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
4.613537,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
4.669183,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
4.715227,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
4.763555,0.677218,0.171329,0.069363,170.640854,73.990334,165.970886
4.818133,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
4.863832,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
4.913933,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
4.971204,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
5.013894,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
5.066401,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
5.113975,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
5.164779,0.677218,0.171329,0.069363,170.640854,73.990334,165.970886
5.214614,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
5.263729,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
5.314540,0.677218,0.171329,0.069363,170.640854,73.990334,165.970886
5.364989,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
5.414356,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
5.463601,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
5.513872,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
5.563936,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
5.613559,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
5.665573,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
5.714647,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
5.767220,0.677218,0.171329,0.069363,170.640854,73.990334,165.970886
5.814554,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
5.865660,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
5.914741,0.677218,0.171329,0.069363,170.640854,73.990334,165.970886
5.965004,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
6.014246,0.677218,0.171328,0.069363,170.640854,73.990334,165.970856
6.064702,0.677218,0.171328,0.069364,170.640793,73.990356,165.970795
6.138332,0.677218,0.171329,0.069364,170.640793,73.990356,165.970825
