time_s,fx_N,fy_N,fz_N,tx_Nm,ty_Nm,tz_Nm
4.246490,4.109468,-2.139016,-1.566102,0.201879,0.005415,1.080767
4.300546,4.079621,-1.908377,-1.600037,0.194147,0.015111,1.049759
4.344065,4.048973,-1.991799,-1.642003,0.198232,-0.010809,1.057211
4.394149,4.178113,-2.063729,-1.504552,0.192710,0.042112,1.058406
4.449070,4.187159,-1.907817,-1.707596,0.189252,0.004035,1.063865
4.495208,4.100175,-2.092182,-1.596200,0.213454,-0.009688,1.076413
4.544270,4.219066,-2.094644,-1.689652,0.212181,-0.003831,1.095071
4.600130,4.095780,-1.965668,-1.701907,0.217793,-0.036379,1.086508
4.644243,4.258072,-2.235201,-1.641751,0.217328,0.005467,1.123195
4.720494,4.115998,-1.918583,-1.634091,0.210584,-0.004129,1.068119
4.768930,4.128245,-1.991608,-1.664217,0.207707,-0.007356,1.077380
4.820868,4.310723,-2.104835,-1.622909,0.191379,0.016589,1.069399
4.874824,3.990719,-1.840032,-1.740503,0.162279,-0.043006,1.020403
4.919162,4.189538,-1.919855,-1.558556,0.146295,-0.000415,1.023605
4.969196,4.229478,-2.262218,-1.710373,0.239566,-0.020419,1.144632
5.022978,4.135302,-1.934617,-1.642713,0.207360,-0.005086,1.077351
5.069054,4.092574,-2.062433,-1.627581,0.197207,-0.009596,1.056426
5.119233,4.112859,-2.023913,-1.578179,0.214312,0.033565,1.063618
5.175817,4.144196,-1.967366,-1.671280,0.192495,-0.012559,1.066995
5.218960,4.118104,-2.015276,-1.694994,0.188017,-0.019521,1.050417
5.270510,4.135072,-1.926993,-1.753131,0.218816,-0.051417,1.066029
5.322921,4.130765,-2.162039,-1.646590,0.209763,-0.021654,1.105597
5.368894,4.122944,-2.044994,-1.558225,0.212786,0.017083,1.089036
5.419793,4.207283,-1.937510,-1.678800,0.199686,0.017694,1.078112
5.472936,4.215736,-2.189187,-1.611199,0.200988,-0.027626,1.094389
5.519366,4.063600,-1.978426,-1.642301,0.208634,0.001353,1.085984
5.570038,4.077495,-2.081598,-1.600359,0.215449,-0.006713,1.119122
5.619047,4.180938,-2.056039,-1.600217,0.178048,0.010090,1.071480
5.669897,4.092020,-1.836667,-1.830813,0.171111,-0.046670,1.005254
5.719070,4.139054,-2.059586,-1.595261,0.201967,-0.003948,1.078737
5.768807,4.243902,-2.070480,-1.673196,0.199574,0.012442,1.095062
5.819069,4.155291,-1.828397,-1.659749,0.176629,0.003102,0.997025
5.869279,4.086626,-2.253234,-1.599119,0.230516,-0.002546,1.146852
5.918987,4.185543,-1.959521,-1.627785,0.217690,0.017059,1.069229
5.971564,4.073222,-2.031920,-1.673766,0.194011,-0.028776,1.091324
6.019221,4.190298,-2.043240,-1.636350,0.180418,-0.012200,1.047590
